"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool_80","i32_81","BuffVisual","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Implementation","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","[rid]_171","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","rid_256","[i32]_272","string_288"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","[rid]_296","[i32]_312","i32_328","[rid]_332"
28,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","Vous subissez des Dégâts de chaos sur la durée.","Ihr erleidet Chaosschaden über Zeit.","混沌継続ダメージを受けている","지속 카오스 피해를 받고 있습니다.","Você está sofrendo Dano Degenerativo de Caos.","Вы получаете постепенный урон хаосом.","Recibes daño de caos degenerativo ","คุณได้รับความเสียหาย เคออส ต่อเนื่อง","你正在承受混沌持續傷害","","","Sewage Toxins","Eaux usées ","Abwassertoxine","スーイッジトキシン","오염된 독소","Toxinas do Esgoto","Токсичные нечистоты","Toxinas de drenaje","สารพิษท่อน้ำทิ้ง","汙水毒素",[442],"",3,"","","","",29,730,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",7,"","",0,[],"","",[],"",[],[],[442],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
29,"fire_weapon","Your weapon does additional fire damage","Votre arme inflige des Dégâts de feu supplémentaires.","Eure Waffe fügt zusätzlichen Feuerschaden zu.","武器は追加の火ダメージを与える","무기가 추가 화염 피해를 줍니다.","Sua arma causa dano de fogo adicional","Ваше оружие наносит дополнительный урон от огня","Tu arma inflige daño de fuego adicional","อาวุธของคุณสร้างความเสียหาย ไฟ เพิ่มเติม","你的武器造成額外火焰傷害。","",1,"Fire Weapon","Arme enflammée ","Feuerwaffe","ファイヤーウェポン","화염 무기","Arma de Fogo","Огненное оружие","Arma de fuego","อาวุธไฟ","烈焰武器","[471,435]",1,3,"","","",1,29,41,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[471,435]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
30,"frenzy_charge","You have Frenzy Charges. These can interact with or augment certain skills and effects.","Vous avez des Charges de frénésie. Celles-ci peuvent améliorer ou interagir avec certaines aptitudes et effets.","Ihr habt Raserei-Ladungen. Diese können mit bestimmten Fertigkeiten und Effekten interagieren oder diese verstärken.","フレンジーチャージがある。特定のスキルまたは効果に作用しそれを強化する。","격분 충전을 보유하고 있습니다. 특정 스킬 및 효과와 상호작용하거나 해당 스킬 및 효과를 강화할 수 있습니다.","Você tem Cargas de Frenesi. Elas podem interagir ou ampliar certas habilidades e efeitos.","У вас есть заряды ярости. Они могут взаимодействовать с или усиливать определённые умения и эффекты.","Tienes cargas de frenesí. Estas cargas pueden interactuar con ciertas habilidades y efectos o aumentarlos.","คุณมี Frenzy Charge ซึ่งมีไว้ใช้หรือเพิ่มพลังให้กับสกิลหรือผลบางอย่าง","你現在擁有狂怒球。這些狂怒球可以與某些技能和效果互動，或是增強它們。","","","Frenzy Charges","Charges de frénésie ","Raserei-Ladungen","フレンジーチャージ","격분 충전","Cargas de Frenesi","Заряды ярости","Cargas de frenesí","Frenzy Charge","狂怒球",[],1,4,1,2599,5,1,29,43,1,"",3,"",1,1,"",0,"","","","",8023,"",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
31,"endurance_charge","You have Endurance Charges. These can interact with or augment certain skills and effects.","Vous avez des Charges d'endurance. Celles-ci peuvent améliorer ou interagir avec certaines aptitudes et effets.","Ihr habt Widerstands-Ladungen. Diese können mit bestimmten Fertigkeiten und Effekten interagieren oder diese verstärken.","エンデュランスチャージがある。特定のスキルまたは効果に作用しそれを強化する。","인내 충전을 보유하고 있습니다. 특정 스킬 및 효과와 상호작용하거나 해당 스킬 및 효과를 강화할 수 있습니다.","Você tem Cargas de Tolerância. Elas podem interagir ou ampliar certas habilidades e efeitos.","У вас есть заряды выносливости. Они могут взаимодействовать с или усиливать определённые умения и эффекты.","Tienes cargas de aguante. Estas cargas pueden interactuar con ciertas habilidades y efectos o aumentarlos.","คุณมี Endurance Charge ซึ่งมีไว้ใช้หรือเพิ่มพลังให้กับสกิลหรือผลบางอย่าง","你現在擁有耐力球。這些耐力球可以與某些技能和效果互動，或是增強它們。","","","Endurance Charges","Charges d'endurance ","Widerstands-Ladungen","エンデュランスチャージ","인내 충전","Cargas de Tolerância","Заряды выносливости","Cargas de aguante","Endurance Charge","耐力球",[],1,4,1,2598,4,1,29,44,1,"",3,"",1,1,"",0,"","","","",8021,"",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
32,"power_charge","You have Power Charges. These can interact with or augment certain skills and effects.","Vous avez des Charges de pouvoir. Celles-ci peuvent améliorer ou interagir avec certaines aptitudes et effets.","Ihr habt Energie-Ladungen. Diese können mit bestimmten Fertigkeiten und Effekten interagieren oder diese verstärken.","パワーチャージがある。特定のスキルまたは効果に作用しそれを強化する。","권능 충전을 보유하고 있습니다. 특정 스킬 및 효과와 상호작용하거나 해당 스킬 및 효과를 강화할 수 있습니다.","Você tem Cargas de Poder. Elas podem interagir ou ampliar certas habilidades e efeitos.","У вас есть заряды энергии. Они могут взаимодействовать с или усиливать определённые умения и эффекты.","Tienes cargas de poder. Estas cargas pueden interactuar con ciertas habilidades y efectos o aumentarlos.","คุณมี Power Charge ซึ่งมีไว้ใช้หรือเพิ่มพลังให้กับสกิลหรือผลบางอย่าง","你現在擁有暴擊球。這些暴擊球可以與某些技能和效果互動，或是增強它們。","","","Power Charges","Charges de pouvoir ","Energie-Ladungen","パワーチャージ","권능 충전","Cargas de Poder","Заряд энергии","Cargas de poder","Power Charge","暴擊球",[],1,4,1,2600,6,1,29,45,1,"",3,"",1,1,"",0,"","","","",8025,"",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
33,"spirit_charge","Required to use certain skills.","Nécessaires à l'utilisation de certaines aptitudes.","Werden für die Verwendung bestimmter Fertigkeiten benötigt.","特定のスキルを使用するために必要。","특정 스킬을 시전해야 합니다.","Requerido no uso de certas habilidades.","Нужны для некоторых умений","Requerido para usar ciertas habilidades.","สกิลบางสกิลต้องใช้สิ่งนี้","需要使用某些技能。","","","Spirit Charges","Charges d'esprit ","Seelen-Ladungen","スピリットチャージ","혼백 충전","Cargas de Espírito","Заряды духа","Cargas de espíritu","Spirit Charge","靈體能量球",[],1,4,1,6873,6193,"",29,46,1,"",3,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
34,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","L'aptitude Tir du Néant peut se déclencher.","Kann die Fertigkeit 'Leerenschuss' auslösen, während Ihr über Leerenpfeile verfügt.","ヴォイドアローがある場合ヴォイドショットをトリガーできる","공허 화살을 보유 시 공허 사격 스킬을 사용할 수 있습니다.","Pode ativar a habilidade Tiro do Vazio enquanto você possuir Flexas do Vazio","Может вызвать срабатывание Выстрела пустоты, пока у вас есть Стрелы пустоты","Puede activar la habilidad Disparo de vacío mientras tengas Flechas de vacío","สามารถทริกเกอร์สกิล ศรห้วงว่าง ได้หากคุณมี ศรว่างเปล่า","當你有虛空箭矢時可以觸發虛無疾射技能。","","","Void Arrows","Flèches du Néant ","Leerenpfeile","ヴォイドアロー","공허 화살","Flexas do Vazio","Стрелы пустоты","Flechas de vacío","ศรว่างเปล่า","虛空箭矢",[],1,4,1,6940,6939,1,29,48,1,"",3,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
35,"divine_charge","You are charged with divine energy","Votre corps est chargé d'énergie divine.","Ihr seid mit göttlicher Energie geladen.","神のエネルギーで満たされている","신성한 기운이 채워짐","Você está carregado com energia divina.","Вы заряжены божественной энергией","Estás cargado con energía divina","คุณได้รับพลังศักดิ์สิทธิ์","你在充能神聖之力","","","Divine Charge","Charge divine ","Göttliche Ladung","ディバインチャージ","신성 충전","Carga Divina","Божественный заряд","Carga divina","Divine Charge","神聖充能",[],1,4,1,8644,8645,1,29,49,1,"",3,"",1,1,"",0,"","DivineCharge","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
36,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","Chaque Charge vous offre des bonus selon votre Ascendance.","Ihr erhaltet Boni von Eurer Aszendenz durch Blitz-Ladungen.","ブリッツチャージがある場合アセンダンシーによるボーナスを獲得","공세 충전 보유 시 전직 보너스 획득","Você ganha bônus de sua Ascensão por ter Cargas de Agressão","Вы получаете преимущество от зарядов разгона","Ganas bonificaciones de tu ascendencia por tener cargas de agresión","คุณได้รับโบนัสจากคลาสเสริมของคุณจากการมี Blitz Charge","你透過昇華獲得閃電球加成","","","Blitz Charge","Charge de férocité ","Blitz-Ladung","ブリッツチャージ","공세 충전","Cargas de Agressão","Заряд разгона","Carga de agresión","Blitz Charge","閃電球",[],1,4,1,9165,9166,1,29,1110,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
37,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","Chaque Charge vous offre des bonus selon votre Ascendance.","Ihr erhaltet Boni von Eurer Aszendenz durch Herausforderer-Ladungen.","チャレンジャーチャージがある場合アセンダンシーによるボーナスを獲得","도전자 충전 보유 시 전직 보너스 획득","Você ganha bônus de sua Ascensão por ter Cargas Desafiantes","Вы получаете преимущество от зарядов претендента","Ganas bonificaciones de tu ascendencia por tener cargas de retador","คุณได้รับโบนัสจากคลาสเสริมของคุณจากการมี Challenger Charge","你透過昇華獲得挑戰球加成","","","Challenger Charges","Charge d'aspirant ","Herausforderer-Ladungen","チャレンジャーチャージ","도전자 충전","Cargas Desafiantes","Заряд претендента","Cargas de retador","Challenger Charge","挑戰球",[],1,4,1,9256,9257,1,29,1118,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
38,"hillock_buff","Attacks with fervor","Attaque avec ferveur","Greift mit Inbrunst an.","熱狂的な攻撃","열성적인 공격","Ataca com fervor","Атакует более яростно","Ataca con fervor","โจมตีอย่างดุดัน","狂熱的揮動著武器。","","","Brutal Attack","Attaque brutale ","Brutaler Angriff","ブルータルアタック","잔인한 공격","Ataque Brutal","Жестокая атака","Ataque brutal","Brutal Attack","殘酷攻擊","[70,26]",1,2,"","","","",29,51,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[70,26]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
39,"mana_leech","","","Ihr raubt Mana.","マナをリーチしている","마나를 흡수하고 있습니다.","","Вы похищаете ману","Estás absorbiendo maná","คุณกำลัง ดูดมานา","",1,"","","","Manaraub","マナリーチ","마나 흡수","","Похищение маны","Absorción de maná","ดูดมานา","",[1409],1,1,"","","","",29,0,1,"",18,"",1,"","",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[2800],[1409],[],"",1,"","","",[],"","","","","","","","","","",[],[],1,[]
